5S_rRNA__chr2	5S_rRNA__chr2|RNA5SP100__chr2
RP11-113K21.6__chr11	RP11-113K21.6__chr11
RP11-113O24.3__chr9	RP11-113O24.3__chr9
RP11-1140I5.1__chr14	RP11-1140I5.1__chr14
RP11-1141N12.1__chr14	RP11-1141N12.1__chr14
RP11-1143G9.4__chr12	RP11-1143G9.4__chr12
RP11-1143G9.5__chr12	RP11-1143G9.5__chr12
RP11-1144P22.1__chr8	RP11-1144P22.1__chr8
RP11-1145L24.1__chr8	RP11-1145L24.1__chr8
RP11-1147P1.1__chr18	RP11-1147P1.1__chr18
RP11-1148L6.5__chrX	RP11-1148L6.5__chrX
RP11-1148L6.8__chrX	RP11-1148L6.8__chrX
RP11-1148L6.9__chrX	RP11-1148L6.9__chrX
RP11-1148O4.2__chr17	RP11-1148O4.2__chr17
RP11-1149M10.1__chr8	RP11-1149M10.1__chr8
RP11-1149M10.2__chr8	RP11-1149M10.2__chr8
RP11-1149O23.2__chr8	RP11-1149O23.2__chr8
RP11-1149O23.3__chr8	RP11-1149O23.3__chr8
RP11-1149O23.4__chr8	RP11-1149O23.4__chr8
RP11-114B7.6__chr1	RP11-114B7.6__chr1
RP11-114F10.2__chr12	RP11-114F10.2__chr12
RP11-114F10.3__chr12	RP11-114F10.3__chr12
RP11-114F3.4__chr12	RP11-114F3.4__chr12
RP11-114G11.4__chr7	RP11-114G11.4__chr7
RP11-114G11.5__chr7	RP11-114G11.5__chr7
RP11-114G22.1__chr12	RP11-114G22.1__chr12
RP11-114H20.1__chrX	RP11-114H20.1__chrX
RP11-114H21.2__chr5	RP11-114H21.2__chr5
RP11-114H23.1__chr12	RP11-114H23.1__chr12
RP11-114H23.2__chr12	RP11-114H23.2__chr12
RP11-114H24.3__chr15	RP11-114H24.3__chr15
RP11-114H24.6__chr15	RP11-114H24.6__chr15
RP11-114H24.7__chr15	RP11-114H24.7__chr15
RP11-114J13.1__chr5	RP11-114J13.1__chr5
RP11-114L10.2__chr7	RP11-114L10.2__chr7
RP11-114M1.1__chr3	RP11-114M1.1__chr3
RP11-114M1.2__chr3	RP11-114M1.2__chr3
RP11-114N19.3__chr14	RP11-114N19.3__chr14
RP11-114O18.1__chr1	RP11-114O18.1__chr1
RP11-114O8.1__chr8	RP11-114O8.1__chr8
RP11-1151B14.1__chr18	RP11-1151B14.1__chr18
RP11-1151B14.2__chr18	RP11-1151B14.2__chr18
RP11-1151B14.3__chr18	RP11-1151B14.3__chr18
RP11-1151B14.4__chr18	RP11-1151B14.4__chr18
RP11-1151B14.5__chr18	RP11-1151B14.5__chr18
RP11-1152H14.1__chr2	RP11-1152H14.1__chr2
RP11-1152H15.1__chr14	RP11-1152H15.1__chr14
RP11-1157N2__B.2__chr18	RP11-1157N2__B.2__chr18
RP11-115C10.1__chr11	RP11-115C10.1__chr11
RP11-115C21.2__chr8	RP11-115C21.2__chr8
RP11-115D19.1__chr4	RP11-115D19.1__chr4
RP11-115D19.2__chr4	RP11-115D19.2__chr4
RP11-115D19.3__chr4	RP11-115D19.3__chr4
RP11-115D19.4__chr4	RP11-115D19.4__chr4
RP11-115E19.1__chr11	RP11-115E19.1__chr11
RP11-115F18.1__chr12	RP11-115F18.1__chr12
RP11-115H13.1__chrY	RP11-115H13.1__chrY
RP11-115H15.2__chr12	RP11-115H15.2__chr12
RP11-115H18.1__chr3	RP11-115H18.1__chr3
RP11-115I9.1__chr8	RP11-115I9.1__chr8
RP11-115J16.1__chr8	RP11-115J16.1__chr8
RP11-115J16.2__chr8	RP11-115J16.2__chr8
RP11-115J16.3__chr8	RP11-115J16.3__chr8
RP11-115J23.1__chr11	RP11-115J23.1__chr11
RP11-115N4.1__chr7	RP11-115N4.1__chr7
RP11-1167A19.2__chr11	RP11-1167A19.2__chr11
RP11-116A1.1__chr5	RP11-116A1.1__chr5
RP11-116D17.1__chr12	RP11-116D17.1__chr12
RP11-116D17.2__chr12	RP11-116D17.2__chr12
RP11-116D17.3__chr12	RP11-116D17.3__chr12
RP11-116D17.4__chr12	RP11-116D17.4__chr12
RP11-116D17.5__chr12	RP11-116D17.5__chr12
RP11-116D2.1__chr2	RP11-116D2.1__chr2
RP11-116G8.5__chr10	RP11-116G8.5__chr10
RP11-116N8.1__chr14	RP11-116N8.1__chr14
RP11-116N8.2__chr14	RP11-116N8.2__chr14
RP11-116N8.4__chr14	RP11-116N8.4__chr14
RP11-116O11.1__chr5	RP11-116O11.1__chr5
RP11-116O18.1__chr18	RP11-116O18.1__chr18
RP11-116O18.3__chr18	RP11-116O18.3__chr18
RP11-117D22.1__chr1	RP11-117D22.1__chr1
RP11-117D22.2__chr1	RP11-117D22.2__chr1
RP11-117L5.1__chr12	RP11-117L5.1__chr12
RP11-117L5.3__chr12	RP11-117L5.3__chr12
RP11-117L5.4__chr12	RP11-117L5.4__chr12
RP11-1182P23.5__chr17	RP11-1182P23.5__chr17
RP11-118A1.2__chr13	RP11-118A1.2__chr13
RP11-118A3.1__chr12	RP11-118A3.1__chr12
RP11-118B18.2__chr17	RP11-118B18.2__chr17
RP11-118B22.4__chr12	RP11-118B22.4__chr12
RP11-118E18.1__chr17	RP11-118E18.1__chr17
RP11-118E18.2__chr17	RP11-118E18.2__chr17
RP11-118E18.4__chr17	RP11-118E18.4__chr17
RP11-118F19.1__chr16	RP11-118F19.1__chr16
RP11-118G23.1__chr17	RP11-118G23.1__chr17
RP11-118G23.2__chr17	RP11-118G23.2__chr17
RP11-118H15.1__chr9	RP11-118H15.1__chr9
RP11-118K6.2__chr10	RP11-118K6.2__chr10
RP11-118K6.3__chr10	RP11-118K6.3__chr10
RP11-118M9.3__chr5	RP11-118M9.3__chr5
RP11-1191J2.2__chr4	RP11-1191J2.2__chr4
RP11-1191J2.4__chr4	RP11-1191J2.4__chr4
RP11-1191J2.5__chr4	RP11-1191J2.5__chr4
RP11-1193F23.1__chr2	RP11-1193F23.1__chr2
RP11-1197K16.2__chr17	RP11-1197K16.2__chr17
RP11-119B16.2__chr20	RP11-119B16.2__chr20
RP11-119D18.1__chr3	RP11-119D18.1__chr3
RP11-119D9.1__chr11	RP11-119D9.1__chr11
RP11-119F19.5__chr10	RP11-119F19.5__chr10
RP11-119F7.5__chr10	RP11-119F7.5__chr10
RP11-119H12.6__chr4	RP11-119H12.6__chr4
RP11-119J18.1__chr5	RP11-119J18.1__chr5
RP11-119K6.6__chr10	RP11-119K6.6__chr10
RP11-11C20.3__chr8	RP11-11C20.3__chr8
RP11-11H9.2__chr15	RP11-11H9.2__chr15
RP11-11K13.1__chr14	RP11-11K13.1__chr14
RP11-11M20.4__chr20	RP11-11M20.4__chr20
RP11-11N5.1__chr4	RP11-11N5.1__chr4
RP11-11N5.3__chr4	RP11-11N5.3__chr4
RP11-11N7.4__chr1	RP11-11N7.4__chr1
RP11-11N7.5__chr1	RP11-11N7.5__chr1
RP11-11N9.4__chr8	RP11-11N9.4__chr8
RP11-120A1.1__chr4	RP11-120A1.1__chr4
RP11-120C12.3__chr10	RP11-120C12.3__chr10
RP11-120D5.1__chrX	RP11-120D5.1__chrX
RP11-120E11.2__chr14	RP11-120E11.2__chr14
RP11-120E13.1__chr13	RP11-120E13.1__chr13
RP11-120I21.2__chr8	RP11-120I21.2__chr8
RP11-120J1.1__chr9	RP11-120J1.1__chr9
RP11-120K18.2__chr16	RP11-120K18.2__chr16
RP11-120K19.3__chr18	RP11-120K19.3__chr18
RP11-120K19.4__chr18	RP11-120K19.4__chr18
RP11-120K24.3__chr13	RP11-120K24.3__chr13
RP11-120K24.4__chr13	RP11-120K24.4__chr13
RP11-120K24.5__chr13	RP11-120K24.5__chr13
RP11-120K9.2__chr15	RP11-120K9.2__chr15
RP11-120M18.2__chr17	RP11-120M18.2__chr17
RP11-120M18.5__chr17	RP11-120M18.5__chr17
RP11-1216L17.1__chr2	RP11-1216L17.1__chr2
RP11-1217F2.15__chr7	RP11-1217F2.15__chr7
RP11-121A13.3__chr17	RP11-121A13.3__chr17
RP11-121A14.2__chr9	RP11-121A14.2__chr9
RP11-121A14.3__chr9	RP11-121A14.3__chr9
RP11-121A8.1__chr7	RP11-121A8.1__chr7
RP11-121C2.2__chr4	RP11-121C2.2__chr4
RP11-121C2.3__chr4	RP11-121C2.3__chr4
RP11-121C6.5__chr12	RP11-121C6.5__chr12
RP11-121E16.1__chr12	RP11-121E16.1__chr12
RP11-121G22.3__chr12	RP11-121G22.3__chr12
RP11-121J20.1__chr12	RP11-121J20.1__chr12
RP11-121L10.2__chr11	RP11-121L10.2__chr11
RP11-121L11.3__chr5	RP11-121L11.3__chr5
RP11-121M22.1__chr11	RP11-121M22.1__chr11
RP11-121P10.1__chr6	RP11-121P10.1__chr6
RP11-121P12.1__chr1	RP11-121P12.1__chr1
RP11-1223D19.1__chr2	RP11-1223D19.1__chr2
RP11-1223D19.3__chr2	RP11-1223D19.3__chr2
RP11-1228E12.1__chr17	RP11-1228E12.1__chr17
RP11-1228E12.2__chr17	RP11-1228E12.2__chr17
RP11-122A21.2__chr8	RP11-122A21.2__chr8
RP11-122C21.1__chr8	RP11-122C21.1__chr8
RP11-122C5.3__chr5	RP11-122C5.3__chr5
RP11-122D10.1__chr15	RP11-122D10.1__chr15
RP11-122F24.1__chr5	RP11-122F24.1__chr5
RP11-122K13.12__chr10	RP11-122K13.12__chr10
RP11-122K13.15__chr10	RP11-122K13.15__chr10
RP11-122K13.7__chr10	RP11-122K13.7__chr10
RP11-122L4.1__chr8	RP11-122L4.1__chr8
RP11-122L9.1__chrY	RP11-122L9.1__chrY
RP11-122M14.1__chr1	RP11-122M14.1__chr1
RP11-122M14.3__chr1	RP11-122M14.3__chr1
RP11-123B3.2__chr10	RP11-123B3.2__chr10
RP11-123I22.1__chr18	RP11-123I22.1__chr18
RP11-123K19.1__chr9	RP11-123K19.1__chr9
RP11-123K19.2__chr9	RP11-123K19.2__chr9
RP11-123K3.4__chr12	RP11-123K3.4__chr12
RP11-123K3.9__chr12	RP11-123K3.9__chr12
RP11-123M21.1__chr12	RP11-123M21.1__chr12
RP11-123M6.2__chr14	RP11-123M6.2__chr14
RP11-123O1.1__chr7	RP11-123O1.1__chr7
RP11-123O10.1__chr12	RP11-123O10.1__chr12
RP11-123O10.3__chr12	RP11-123O10.3__chr12
RP11-123O10.4__chr12	RP11-123O10.4__chr12
RP11-123O22.1__chr4	RP11-123O22.1__chr4
RP11-1246C19.1__chr7	RP11-1246C19.1__chr7
RP11-124B13.1__chr8	RP11-124B13.1__chr8
RP11-124D2.3__chr14	RP11-124D2.3__chr14
RP11-124G5.3__chr11	RP11-124G5.3__chr11
RP11-124I4.2__chr6	RP11-124I4.2__chr6
RP11-124N14.3__chr10	RP11-124N14.3__chr10
RP11-124N19.3__chr13	RP11-124N19.3__chr13
RP11-124N19.4__chr13	RP11-124N19.4__chr13
RP11-124N2.1__chr3	RP11-124N2.1__chr3
RP11-124N3.2__chr5	RP11-124N3.2__chr5
RP11-124N3.3__chr5	RP11-124N3.3__chr5
RP11-124O11.1__chr10	RP11-124O11.1__chr10
RP11-1250I15.1__chr5	RP11-1250I15.1__chr5
RP11-1250I15.2__chr5	RP11-1250I15.2__chr5
RP11-1250I15.3__chr5	RP11-1250I15.3__chr5
RP11-1252I4.2__chr5	RP11-1252I4.2__chr5
RP11-1258F18.1__chr4	RP11-1258F18.1__chr4
RP11-1259L22.1__chr5	RP11-1259L22.1__chr5
RP11-125D12.1__chr6	RP11-125D12.1__chr6
RP11-125D12.2__chr6	RP11-125D12.2__chr6
RP11-125K10.5__chr9	RP11-125K10.5__chr9
RP11-125M16.1__chr6	RP11-125M16.1__chr6
RP11-125O18.1__chr4	RP11-125O18.1__chr4
RP11-125O5.2__chr12	RP11-125O5.2__chr12
RP11-1260E13.1__chr17	RP11-1260E13.1__chr17
RP11-1260E13.2__chr17	RP11-1260E13.2__chr17
RP11-1260E13.3__chr17	RP11-1260E13.3__chr17
RP11-1260E13.4__chr17	RP11-1260E13.4__chr17
RP11-1263C18.1__chr4	RP11-1263C18.1__chr4
RP11-126H7.4__chr10	RP11-126H7.4__chr10
RP11-126K1.2__chr1	RP11-126K1.2__chr1
RP11-126K1.6__chr1	RP11-126K1.6__chr1
RP11-126K1.8__chr1	RP11-126K1.8__chr1
RP11-126K1.9__chr1	RP11-126K1.9__chr1
RP11-126K15.1__chr18	RP11-126K15.1__chr18
RP11-126L15.4__chr7	RP11-126L15.4__chr7
RP11-126O1.2__chr18	RP11-126O1.2__chr18
RP11-126O1.4__chr18	RP11-126O1.4__chr18
RP11-126O1.5__chr18	RP11-126O1.5__chr18
RP11-126O1.6__chr18	RP11-126O1.6__chr18
RP11-1275H24.1__chr7	RP11-1275H24.1__chr7
RP11-1275H24.2__chr7	RP11-1275H24.2__chr7
RP11-1275H24.3__chr7	RP11-1275H24.3__chr7
RP11-1277A3.1__chr5	RP11-1277A3.1__chr5
RP11-1277A3.3__chr5	RP11-1277A3.3__chr5
RP11-127B16.1__chr6	RP11-127B16.1__chr6
RP11-127B20.2__chr4	RP11-127B20.2__chr4
RP11-127B20.3__chr4	RP11-127B20.3__chr4
RP11-127I20.5__chr16	RP11-127I20.5__chr16
RP11-127I20.7__chr16	RP11-127I20.7__chr16
RP11-127I20.8__chr16	RP11-127I20.8__chr16
RP11-127L20.3__chr10	RP11-127L20.3__chr10
RP11-127L20.5__chr10	RP11-127L20.5__chr10
RP11-127L21.1__chr9	RP11-127L21.1__chr9
RP11-127O4.2__chr10	RP11-127O4.2__chr10
RP11-127O4.3__chr10	RP11-127O4.3__chr10
RP11-1281K21.8__chr4	RP11-1281K21.8__chr4
RP11-128A17.1__chr15	RP11-128A17.1__chr15
RP11-128A17.2__chr15	RP11-128A17.2__chr15
RP11-128B16.3__chr10	RP11-128B16.3__chr10
RP11-128D14.1__chr18	RP11-128D14.1__chr18
RP11-128I7.1__chr9	RP11-128I7.1__chr9
RP11-128L5.1__chr8	RP11-128L5.1__chr8
RP11-128M1.1__chr20	RP11-128M1.1__chr20
RP11-128N14.4__chr13	RP11-128N14.4__chr13
RP11-128N14.5__chr13	RP11-128N14.5__chr13
RP11-128P10.1__chr12	RP11-128P10.1__chr12
RP11-128P17.1__chr18	RP11-128P17.1__chr18
RP11-128P17.2__chr18	RP11-128P17.2__chr18
RP11-128P17.3__chr18	RP11-128P17.3__chr18
RP11-128P17.4__chr18	RP11-128P17.4__chr18
RP11-1293J14.1__chr2	RP11-1293J14.1__chr2
RP11-1299A16.3__chr4	RP11-1299A16.3__chr4
RP11-129I19.2__chr5	RP11-129I19.2__chr5
RP11-129J12.1__chr10	RP11-129J12.1__chr10
RP11-129K12.1__chr3	RP11-129K12.1__chr3
RP11-129M16.4__chr10	RP11-129M16.4__chr10
RP11-129M6.1__chr14	RP11-129M6.1__chr14
RP11-12A16.3__chr9	RP11-12A16.3__chr9
RP11-12C17.2__chr1	RP11-12C17.2__chr1
RP11-12D16.2__chr11	RP11-12D16.2__chr11
RP11-12D24.10__chr9	RP11-12D24.10__chr9
RP11-12G12.7__chr13	RP11-12G12.7__chr13
RP11-12J10.3__chr10	RP11-12J10.3__chr10
RP11-12J10.4__chr10	RP11-12J10.4__chr10
RP11-12K11.2__chr3	RP11-12K11.2__chr3
RP11-12K22.1__chr4	RP11-12K22.1__chr4
RP11-12K6.2__chr12	RP11-12K6.2__chr12
RP11-12L8.1__chr1	RP11-12L8.1__chr1
RP11-12M5.1__chr1	RP11-12M5.1__chr1
RP11-12M5.3__chr1	RP11-12M5.3__chr1
RP11-12M5.4__chr1	RP11-12M5.4__chr1
RP11-12O16.1__chr15	RP11-12O16.1__chr15
RP11-130C19.3__chr9	RP11-130C19.3__chr9
RP11-130C6.1__chr4	RP11-130C6.1__chr4
RP11-130F10.1__chr4	RP11-130F10.1__chr4
RP11-130L8.1__chr2	RP11-130L8.1__chr2
RP11-130L8.2__chr2	RP11-130L8.2__chr2
RP11-131H24.4__chr14	RP11-131H24.4__chr14
RP11-131H24.5__chr14	RP11-131H24.5__chr14
RP11-131J3.1__chr1	RP11-131J3.1__chr1
RP11-131K5.1__chr17	RP11-131K5.1__chr17
RP11-131K5.2__chr17	RP11-131K5.2__chr17
RP11-131L12.2__chr12	RP11-131L12.2__chr12
RP11-131L12.3__chr12	RP11-131L12.3__chr12
RP11-131L12.4__chr12	RP11-131L12.4__chr12
RP11-131L23.1__chr1	RP11-131L23.1__chr1
RP11-131L23.2__chr1	RP11-131L23.2__chr1
RP11-131M11.2__chr1	RP11-131M11.2__chr1
RP11-131M11.3__chr1	RP11-131M11.3__chr1
RP11-131N11.4__chr10	RP11-131N11.4__chr10
RP11-131P10.2__chr13	RP11-131P10.2__chr13
RP11-132A1.3__chr7	RP11-132A1.3__chr7
RP11-132A1.4__chr7	RP11-132A1.4__chr7
RP11-132E11.2__chr9	RP11-132E11.2__chr9
RP11-132F7.2__chr16	RP11-132F7.2__chr16
RP11-132M7.3__chr6	RP11-132M7.3__chr6
RP11-132N15.1__chr3	RP11-132N15.1__chr3
RP11-132N15.2__chr3	RP11-132N15.2__chr3
RP11-132N15.3__chr3	RP11-132N15.3__chr3
RP11-1334A24.5__chr5	RP11-1334A24.5__chr5
RP11-1334A24.6__chr5	RP11-1334A24.6__chr5
RP11-1336O20.2__chr4	RP11-1336O20.2__chr4
RP11-1338A24.1__chr4	RP11-1338A24.1__chr4
RP11-133F8.2__chr5	RP11-133F8.2__chr5
RP11-133K1.11__chr15	RP11-133K1.11__chr15
RP11-133K1.12__chr15	RP11-133K1.12__chr15
RP11-133K1.6__chr15	RP11-133K1.6__chr15
RP11-133K1.7__chr15	RP11-133K1.7__chr15
RP11-133K1.8__chr15	RP11-133K1.8__chr15
RP11-133K1.9__chr15	RP11-133K1.9__chr15
RP11-133L14.5__chr12	RP11-133L14.5__chr12
RP11-133L19.1__chr15	RP11-133L19.1__chr15
RP11-133L19.2__chr15	RP11-133L19.2__chr15
RP11-133L19.3__chr15	RP11-133L19.3__chr15
RP11-133M8.3__chr16	RP11-133M8.3__chr16
RP11-133N21.10__chr12	RP11-133N21.10__chr12
RP11-1348G14.4__chr16	RP11-1348G14.4__chr16
RP11-1348G14.5__chr16	RP11-1348G14.5__chr16
RP11-1348G14.8__chr16	RP11-1348G14.8__chr16
RP11-134D3.1__chr16	RP11-134D3.1__chr16
RP11-134D3.2__chr16	RP11-134D3.2__chr16
RP11-134G8.10__chr1	RP11-134G8.10__chr1
RP11-134G8.5__chr1	RP11-134G8.5__chr1
RP11-134G8.7__chr1	RP11-134G8.7__chr1
RP11-134J21.1__chr3	RP11-134J21.1__chr3
RP11-134K1.3__chr9	RP11-134K1.3__chr9
RP11-134K13.4__chr6	RP11-134K13.4__chr6
RP11-134L10.1__chr7	RP11-134L10.1__chr7
RP11-134N1.2__chr12	RP11-134N1.2__chr12
RP11-134O21.1__chr8	RP11-134O21.1__chr8
RP11-135A1.2__chr3	RP11-135A1.2__chr3
RP11-135A1.3__chr3	RP11-135A1.3__chr3
RP11-135A24.2__chr10	RP11-135A24.2__chr10
RP11-135A24.4__chr10	RP11-135A24.4__chr10
RP11-135D11.2__chr10	RP11-135D11.2__chr10
RP11-135F9.3__chr12	RP11-135F9.3__chr12
RP11-135F9.4__chr12	RP11-135F9.4__chr12
RP11-135J2.3__chr1	RP11-135J2.3__chr1
RP11-135L13.4__chr17	RP11-135L13.4__chr17
RP11-135N5.3__chr17	RP11-135N5.3__chr17
RP11-136B18.2__chr1	RP11-136B18.2__chr1
RP11-136C24.2__chr3	RP11-136C24.2__chr3
RP11-136C24.3__chr3	RP11-136C24.3__chr3
RP11-136F16.1__chr12	RP11-136F16.1__chr12
RP11-136H19.1__chr17	RP11-136H19.1__chr17
RP11-136I14.2__chr11	RP11-136I14.2__chr11
RP11-136I14.5__chr11	RP11-136I14.5__chr11
RP11-136K14.1__chr6	RP11-136K14.1__chr6
RP11-136K14.2__chr6	RP11-136K14.2__chr6
RP11-136K14.3__chr6	RP11-136K14.3__chr6
RP11-136K7.1__chr5	RP11-136K7.1__chr5
RP11-136K7.2__chr5	RP11-136K7.2__chr5
RP11-136K7.3__chr5	RP11-136K7.3__chr5
RP11-136L23.2__chr12	RP11-136L23.2__chr12
RP11-136O12.2__chr8	RP11-136O12.2__chr8
RP11-1376P16.1__chr17	RP11-1376P16.1__chr17
RP11-1376P16.2__chr17	RP11-1376P16.2__chr17
RP11-1379J22.2__chr5	RP11-1379J22.2__chr5
RP11-1379J22.5__chr5	RP11-1379J22.5__chr5
RP11-137H2.4__chr10	RP11-137H2.4__chr10
RP11-137J7.2__chr6	RP11-137J7.2__chr6
RP11-137O10.1__chr11	RP11-137O10.1__chr11
RP11-138A23.2__chr4	RP11-138A23.2__chr4
RP11-138A9.1__chr7	RP11-138A9.1__chr7
RP11-138A9.2__chr7	RP11-138A9.2__chr7
RP11-138B4.1__chr4	RP11-138B4.1__chr4
RP11-138B9.1__chr7	RP11-138B9.1__chr7
RP11-138C9.1__chr17	RP11-138C9.1__chr17
RP11-138E16.1__chr15	RP11-138E16.1__chr15
RP11-138E2.1__chr9	RP11-138E2.1__chr9
RP11-138E9.2__chr18	RP11-138E9.2__chr18
RP11-138H10.2__chr15	RP11-138H10.2__chr15
RP11-138H11.1__chr18	RP11-138H11.1__chr18
RP11-138H8.2__chr15	RP11-138H8.2__chr15
RP11-138H8.3__chr15	RP11-138H8.3__chr15
RP11-138H8.6__chr15	RP11-138H8.6__chr15
RP11-138H8.8__chr15	RP11-138H8.8__chr15
RP11-138I1.2__chr17	RP11-138I1.2__chr17
RP11-138I1.3__chr17	RP11-138I1.3__chr17
RP11-138I1.4__chr17	RP11-138I1.4__chr17
RP11-138I17.1__chr4	RP11-138I17.1__chr4
RP11-138I18.1__chr10	RP11-138I18.1__chr10
RP11-138I18.2__chr10	RP11-138I18.2__chr10
RP11-138J23.1__chr5	RP11-138J23.1__chr5
RP11-138M12.1__chr6	RP11-138M12.1__chr6
RP11-138P22.1__chr17	RP11-138P22.1__chr17
RP11-1391J7.1__chr11	RP11-1391J7.1__chr11
RP11-1398P2.1__chr4	RP11-1398P2.1__chr4
RP11-1399P15.1__chr2	RP11-1399P15.1__chr2
RP11-139B1.1__chr12	RP11-139B1.1__chr12
RP11-139E19.3__chr12	RP11-139E19.3__chr12
RP11-139H14.5__chr13	RP11-139H14.5__chr13
RP11-139H15.5__chr15	RP11-139H15.5__chr15
RP11-139H15.6__chr15	RP11-139H15.6__chr15
RP11-139H15.7__chr15	RP11-139H15.7__chr15
RP11-139I14.2__chr1	RP11-139I14.2__chr1
RP11-139J15.5__chr10	RP11-139J15.5__chr10
RP11-139K4.2__chr3	RP11-139K4.2__chr3
RP11-13A1.1__chr12	RP11-13A1.1__chr12
RP11-13A1.3__chr12	RP11-13A1.3__chr12
RP11-13E1.5__chr10	RP11-13E1.5__chr10
RP11-13E5.2__chrX	RP11-13E5.2__chrX
RP11-13J10.1__chr2	RP11-13J10.1__chr2
RP11-13J12.2__chr12	RP11-13J12.2__chr12
RP11-13J8.1__chr2	RP11-13J8.1__chr2
RP11-13K12.1__chr17	RP11-13K12.1__chr17
RP11-13K12.2__chr17	RP11-13K12.2__chr17
RP11-13K12.5__chr17	RP11-13K12.5__chr17
RP11-13K12.6__chr17	RP11-13K12.6__chr17
RP11-13M3.1__chr7	RP11-13M3.1__chr7
RP11-13N12.1__chr8	RP11-13N12.1__chr8
RP11-13N12.2__chr8	RP11-13N12.2__chr8
RP11-13N13.5__chr18	RP11-13N13.5__chr18
RP11-13N13.6__chr18	RP11-13N13.6__chr18
RP11-13P5.1__chr6	RP11-13P5.1__chr6
RP11-13P5.2__chr6	RP11-13P5.2__chr6
RP11-1406H17.1__chr4	RP11-1406H17.1__chr4
RP11-140A10.3__chr10	RP11-140A10.3__chr10
RP11-140H17.1__chr16	RP11-140H17.1__chr16
RP11-140H17.2__chr16	RP11-140H17.2__chr16
RP11-140I16.3__chr8	RP11-140I16.3__chr8
RP11-140I24.2__chr16	RP11-140I24.2__chr16
RP11-140K17.3__chr6	RP11-140K17.3__chr6
RP11-140L24.4__chr11	RP11-140L24.4__chr11
RP11-140M13.1__chr4	RP11-140M13.1__chr4
RP11-141A19.1__chr1	RP11-141A19.1__chr1
RP11-141A19.2__chr1	RP11-141A19.2__chr1
RP11-141B14.1__chr2	RP11-141B14.1__chr2
RP11-141B14.2__chr2	RP11-141B14.2__chr2
RP11-141E13.1__chr4	RP11-141E13.1__chr4
RP11-141J10.1__chr9	RP11-141J10.1__chr9
RP11-141J10.2__chr9	RP11-141J10.2__chr9
RP11-141J13.3__chr17	RP11-141J13.3__chr17
RP11-141J13.5__chr17	RP11-141J13.5__chr17
RP11-141M1.1__chr13	RP11-141M1.1__chr13
RP11-141M1.3__chr13	RP11-141M1.3__chr13
RP11-141M1.4__chr13	RP11-141M1.4__chr13
RP11-141M3.6__chr3	RP11-141M3.6__chr3
RP11-141O11.1__chr5	RP11-141O11.1__chr5
RP11-141O11.2__chr5	RP11-141O11.2__chr5
RP11-141O15.1__chr16	RP11-141O15.1__chr16
RP11-142A12.1__chr16	RP11-142A12.1__chr16
RP11-142A22.3__chr4	RP11-142A22.3__chr4
RP11-142A22.4__chr4	RP11-142A22.4__chr4
RP11-142A23.1__chr8	RP11-142A23.1__chr8
RP11-142A5.1__chr7	RP11-142A5.1__chr7
RP11-142C4.6__chr11	RP11-142C4.6__chr11
RP11-142E9.1__chr13	RP11-142E9.1__chr13
RP11-142G1.1__chr16	RP11-142G1.1__chr16
RP11-142G1.3__chr16	RP11-142G1.3__chr16
RP11-142J21.1__chr15	RP11-142J21.1__chr15
RP11-142J21.2__chr15	RP11-142J21.2__chr15
RP11-142L1.1__chr3	RP11-142L1.1__chr3
RP11-142L16.2__chr10	RP11-142L16.2__chr10
RP11-142M10.2__chr10	RP11-142M10.2__chr10
RP11-142O6.1__chr17	RP11-142O6.1__chr17
RP11-1430O6.1__chr7	RP11-1430O6.1__chr7
RP11-1437A8.3__chr16	RP11-1437A8.3__chr16
RP11-1437A8.4__chr16	RP11-1437A8.4__chr16
RP11-1437A8.5__chr16	RP11-1437A8.5__chr16
RP11-1437A8.6__chr16	RP11-1437A8.6__chr16
RP11-143A12.1__chr5	RP11-143A12.1__chr5
RP11-143A12.3__chr5	RP11-143A12.3__chr5
RP11-143A22.1__chr6	RP11-143A22.1__chr6
RP11-143E21.2__chr12	RP11-143E21.2__chr12
RP11-143E21.3__chr12	RP11-143E21.3__chr12
RP11-143E21.4__chr12	RP11-143E21.4__chr12
RP11-143E21.6__chr12	RP11-143E21.6__chr12
RP11-143G3.1__chrX	RP11-143G3.1__chrX
RP11-143I21.1__chr7	RP11-143I21.1__chr7
RP11-143J12.3__chr18	RP11-143J12.3__chr18
RP11-143J24.1__chr15	RP11-143J24.1__chr15
RP11-143K11.5__chr17	RP11-143K11.5__chr17
RP11-143K11.7__chr17	RP11-143K11.7__chr17
RP11-143M1.3__chr9	RP11-143M1.3__chr9
RP11-143N13.2__chr16	RP11-143N13.2__chr16
RP11-143P4.2__chr3	RP11-143P4.2__chr3
RP11-144A16.6__chr9	RP11-144A16.6__chr9
RP11-144A16.8__chr9	RP11-144A16.8__chr9
RP11-144F15.1__chr12	RP11-144F15.1__chr12
RP11-144G16.1__chr10	RP11-144G16.1__chr10
RP11-144G6.12__chr10	RP11-144G6.12__chr10
RP11-144G6.4__chr10	RP11-144G6.4__chr10
RP11-144G7.2__chr11	RP11-144G7.2__chr11
RP11-144I2.1__chr10	RP11-144I2.1__chr10
RP11-144L1.4__chr1	RP11-144L1.4__chr1
RP11-145A3.1__chr1	RP11-145A3.1__chr1
RP11-145A3.2__chr1	RP11-145A3.2__chr1
RP11-145E17.2__chr9	RP11-145E17.2__chr9
